,temperature,flow
2016-10-29 00:00:00,1.8,0.04553073035972812
2016-10-29 01:00:00,2.3,0.04499294202696425
2016-10-29 02:00:00,2.5,0.04487818606255469
2016-10-29 03:00:00,2.1,0.04515867899457041
2016-10-29 04:00:00,2.0,0.045527382693537316
2016-10-29 05:00:00,2.1,0.04623328272792693
2016-10-29 06:00:00,1.8,0.04711484985934896
2016-10-29 07:00:00,2.6,0.047947406762773356
2016-10-29 08:00:00,3.5,0.048558065854866
2016-10-29 09:00:00,4.2,0.049204310861397725
2016-10-29 10:00:00,5.8,0.049684527570876984
2016-10-29 11:00:00,5.6,0.049589450773834975
2016-10-29 12:00:00,6.6,0.04876123238873225
2016-10-29 13:00:00,7.0,0.047182126372059985
2016-10-29 14:00:00,9.3,0.04580740665002122
2016-10-29 15:00:00,9.5,0.04491667290265091
2016-10-29 16:00:00,10.1,0.04449209931346005
2016-10-29 17:00:00,9.8,0.04440759655727105
2016-10-29 18:00:00,9.3,0.0445137079134719
2016-10-29 19:00:00,9.0,0.0440561598628611
2016-10-29 20:00:00,8.6,0.04335823336090984
2016-10-29 21:00:00,8.2,0.042294195672039625
2016-10-29 22:00:00,8.4,0.04157985397173583
2016-10-29 23:00:00,8.3,0.041092412064598474
2016-10-30 00:00:00,8.0,0.04080930775888003
2016-10-30 01:00:00,7.4,0.04035965680528471
2016-10-30 02:00:00,7.5,0.03983633830634163
2016-10-30 03:00:00,7.7,0.03970353572307403
2016-10-30 04:00:00,6.9,0.03981807053049942
2016-10-30 05:00:00,7.1,0.04027405530640974
2016-10-30 06:00:00,5.6,0.041092094212453925
2016-10-30 07:00:00,5.449999999999999,0.04235658200577018
2016-10-30 08:00:00,5.3,0.043621069799086434
2016-10-30 10:00:00,5.0,0.04615004538571894
2016-10-30 11:00:00,5.4,0.04619478475513907
2016-10-30 12:00:00,6.3,0.04617067767015256
2016-10-30 13:00:00,5.8,0.04694949991464666
2016-10-30 14:00:00,5.4,0.046852046438160794
2016-10-30 15:00:00,5.6,0.04662972574687313
2016-10-30 16:00:00,5.4,0.046842017938067755
2016-10-30 17:00:00,5.1,0.04760610575674859
2016-10-30 18:00:00,5.8,0.04784539174270995
2016-10-30 19:00:00,5.4,0.04794692960416449
2016-10-30 20:00:00,5.4,0.04692615795191073
2016-10-30 21:00:00,5.4,0.046223838324291
2016-10-30 22:00:00,4.8,0.0453534514124077
2016-10-30 23:00:00,5.3,0.04460576342015074
2016-10-31 00:00:00,5.4,0.04375200609237607
2016-10-31 01:00:00,5.3,0.04323192939455413
2016-10-31 02:00:00,5.4,0.04278950734880574
2016-10-31 03:00:00,5.3,0.04241179695960083
2016-10-31 04:00:00,4.9,0.04229695371132771
2016-10-31 05:00:00,3.9,0.04256487226203909
2016-10-31 06:00:00,3.8,0.04418935090889737
2016-10-31 07:00:00,5.5,0.04753546524408376
2016-10-31 08:00:00,4.3,0.04686045862259564
2016-10-31 09:00:00,5.6,0.0466801860785373
2016-10-31 10:00:00,5.2,0.04648747077529502
2016-10-31 11:00:00,4.6,0.046094853621801324
2016-10-31 12:00:00,6.4,0.044853948674152246
2016-10-31 13:00:00,7.1,0.0443364059020058
2016-10-31 14:00:00,5.9,0.04406862162598959
2016-10-31 15:00:00,6.3,0.04430735315786823
2016-10-31 16:00:00,6.0,0.04497998155729032
2016-10-31 17:00:00,5.8,0.04565344209999434
2016-10-31 18:00:00,5.5,0.04719007071041092
2016-10-31 19:00:00,6.0,0.04750695003703615
2016-10-31 20:00:00,6.1,0.04665507152674352
2016-10-31 21:00:00,5.8,0.04566801854192723
2016-10-31 22:00:00,6.0,0.04471770239291985
2016-10-31 23:00:00,5.9,0.04296918890628682
2016-11-01 00:00:00,6.1,0.04190488306587049
2016-11-01 01:00:00,5.5,0.04120549488948662
2016-11-01 02:00:00,5.2,0.04105973589949832
2016-11-01 03:00:00,5.4,0.0412952838233227
2016-11-01 04:00:00,4.6,0.04158684408359087
2016-11-01 05:00:00,5.0,0.04186457268142773
2016-11-01 06:00:00,5.1,0.04358264732262129
2016-11-01 07:00:00,5.5,0.047016171564028736
2016-11-01 08:00:00,5.1,0.04630549981957115
2016-11-01 09:00:00,4.8,0.04635839751789969
2016-11-01 10:00:00,3.6,0.04653114646719097
2016-11-01 11:00:00,3.9,0.046329309126490685
2016-11-01 12:00:00,4.7,0.046127890070531266
2016-11-01 13:00:00,4.6,0.045408210047964824
2016-11-01 14:00:00,5.3,0.04483805409457264
2016-11-01 15:00:00,5.0,0.044979550594509914
2016-11-01 16:00:00,4.6,0.0453771943503237
2016-11-01 17:00:00,4.4,0.046545484473630834
2016-11-01 18:00:00,4.3,0.04739209007071256
2016-11-01 19:00:00,4.1,0.04738447030776597
2016-11-01 20:00:00,4.4,0.04661924155073817
2016-11-01 21:00:00,4.5,0.04603515187434124
2016-11-01 22:00:00,4.2,0.04484865422740628
2016-11-01 23:00:00,3.8,0.043614261174594444
2016-11-02 00:00:00,3.8,0.04247439586493033
2016-11-02 01:00:00,4.1,0.0418608865212188
2016-11-02 02:00:00,4.3,0.041689500857690166
2016-11-02 03:00:00,4.1,0.041622817406105635
2016-11-02 04:00:00,4.7,0.0415813297579584
2016-11-02 05:00:00,4.8,0.0415027524178529
2016-11-02 06:00:00,5.9,0.043011367737983745
2016-11-02 07:00:00,6.2,0.046246778981798776
2016-11-02 08:00:00,6.0,0.04585441025894986
2016-11-02 09:00:00,6.3,0.04538345390378789
2016-11-02 10:00:00,6.3,0.04547361096884099
2016-11-02 11:00:00,6.7,0.04528015577683144
2016-11-02 12:00:00,6.3,0.04519198672917187
2016-11-02 13:00:00,6.0,0.045206481266025625
2016-11-02 14:00:00,5.6,0.04552717453711762
2016-11-02 15:00:00,5.2,0.045791723908326705
2016-11-02 16:00:00,5.2,0.04588735814360966
2016-11-02 17:00:00,5.1,0.04658099649262973
2016-11-02 18:00:00,5.4,0.04710885449984109
2016-11-02 19:00:00,5.4,0.046814251588639395
2016-11-02 20:00:00,5.4,0.04548901403846536
2016-11-02 21:00:00,5.6,0.044415349261840376
2016-11-02 22:00:00,6.2,0.043083033938160153
2016-11-02 23:00:00,5.8,0.04174860224535562
2016-11-03 00:00:00,5.9,0.04054189613718054
2016-11-03 01:00:00,5.5,0.0398569810510113
2016-11-03 02:00:00,5.4,0.039700129448691134
2016-11-03 03:00:00,5.1,0.0396384225080131
2016-11-03 04:00:00,5.0,0.039633905432518275
2016-11-03 05:00:00,5.1,0.039897623324386795
2016-11-03 06:00:00,5.1,0.04172698521986563
2016-11-03 07:00:00,5.0,0.04523190518761184
2016-11-03 08:00:00,5.0,0.04452458226943508
2016-11-03 09:00:00,4.8,0.04421411935042414
2016-11-03 10:00:00,5.0,0.04429058440998563
2016-11-03 11:00:00,5.6,0.04407202833724301
2016-11-03 12:00:00,6.2,0.0433269627621257
2016-11-03 13:00:00,6.9,0.042872230590957044
2016-11-03 14:00:00,6.8,0.04216116769953639
2016-11-03 15:00:00,7.1,0.04200507107656322
2016-11-03 16:00:00,7.1,0.042578254237798915
2016-11-03 17:00:00,6.3,0.04334589910106226
2016-11-03 18:00:00,6.2,0.044164253142412915
2016-11-03 19:00:00,6.3,0.04454624704316677
2016-11-03 20:00:00,6.1,0.04368463468639352
2016-11-03 21:00:00,6.1,0.0427942132752494
2016-11-03 22:00:00,6.3,0.041946493979638524
2016-11-03 23:00:00,6.0,0.04074553471317023
2016-11-04 00:00:00,5.8,0.039733841285407384
2016-11-04 01:00:00,5.3,0.0393267340385714
2016-11-04 02:00:00,5.1,0.039280511468369715
2016-11-04 03:00:00,5.1,0.03906487624208334
2016-11-04 04:00:00,5.0,0.03915972610899046
2016-11-04 05:00:00,5.0,0.03955024185185085
2016-11-04 06:00:00,5.3,0.041363595280497024
2016-11-04 07:00:00,4.8,0.044790740173510805
2016-11-04 08:00:00,5.1,0.04414840172910187
2016-11-04 09:00:00,5.1,0.04386392269986785
2016-11-04 10:00:00,5.1,0.043951543354684854
2016-11-04 11:00:00,5.3,0.04410005889011411
2016-11-04 12:00:00,5.6,0.04372961944898741
2016-11-04 13:00:00,6.2,0.04326302266540052
2016-11-04 14:00:00,6.3,0.04288237085053727
2016-11-04 15:00:00,6.2,0.043113511451127406
2016-11-04 16:00:00,7.1,0.043853019693427434
2016-11-04 17:00:00,5.0,0.04552034993140685
2016-11-04 18:00:00,4.5,0.04653526117336497
2016-11-04 19:00:00,3.7,0.046606449969473794
2016-11-04 20:00:00,3.1,0.04588395198868377
2016-11-04 21:00:00,2.2,0.045474712688140184
2016-11-04 22:00:00,2.6,0.045054520801808745
2016-11-04 23:00:00,1.9,0.044226069671623534
2016-11-05 00:00:00,1.8,0.043626908562707956
2016-11-05 01:00:00,2.1,0.04298693014123792
2016-11-05 02:00:00,2.2,0.04267186912365057
2016-11-05 03:00:00,2.5,0.04244685203414361
2016-11-05 04:00:00,2.4,0.042520425026546516
2016-11-05 05:00:00,2.2,0.04245870170143997
2016-11-05 06:00:00,2.0,0.04298506724518101
2016-11-05 07:00:00,1.8,0.044112196040035294
